Instant_Video 	 M3IB	 160  	 ||||Top-20 	 0.0000 TEST SET,0.2054,0.0962,0.0659	||||
Instant_Video 	 M3IB	 180  	 ||||Top-20 	 0.0000 TEST SET,0.2104,0.0988,0.0679	||||
Instant_Video 	 M3IB	 200  	 ||||Top-20 	 0.0000 TEST SET,0.2099,0.0995,0.0689	||||
Amazon_App 	 M3IB	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0642,0.0246,0.0137	||||
Instant_Video 	 M3IB	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0201,0.0066,0.0030	||||
Instant_Video 	 M3IB	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0851,0.0346,0.0213	||||
Instant_Video 	 M3IB	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0982,0.0347,0.0176	||||
Instant_Video 	 M3IB	 60  	 ||||Top-20 	 0.0000 TEST SET,0.1404,0.0515,0.0275	||||
Instant_Video 	 M3IB	 80  	 ||||Top-20 	 0.0000 TEST SET,0.1710,0.0687,0.0407	||||
Instant_Video 	 M3IB	 100  	 ||||Top-20 	 0.0000 TEST SET,0.1899,0.0814,0.0514	||||
Instant_Video 	 M3IB	 120  	 ||||Top-20 	 0.0000 TEST SET,0.1978,0.0899,0.0600	||||
Instant_Video 	 M3IB	 140  	 ||||Top-20 	 0.0000 TEST SET,0.2001,0.0939,0.0644	||||
Instant_Video 	 M3IB	 160  	 ||||Top-20 	 0.0000 TEST SET,0.2033,0.0976,0.0680	||||
Instant_Video 	 M3IB	 180  	 ||||Top-20 	 0.0000 TEST SET,0.2091,0.1018,0.0718	||||
Instant_Video 	 M3IB	 200  	 ||||Top-20 	 0.0000 TEST SET,0.2089,0.0994,0.0691	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0320,0.0169,0.0120	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0239,0.0186,0.0169	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0262,0.0142,0.0102	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0251,0.0134,0.0095	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0227,0.0111,0.0074	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0210,0.0104,0.0070	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0181,0.0097,0.0071	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0224,0.0109,0.0073	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0184,0.0097,0.0069	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0216,0.0106,0.0071	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0189,0.0097,0.0067	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0685,0.0271,0.0154	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-20 	 0.0000 TEST SET,0.0731,0.0321,0.0213	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0693,0.0260,0.0141	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-20 	 0.0000 TEST SET,0.0763,0.0274,0.0141	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0687,0.0243,0.0120	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-20 	 0.0000 TEST SET,0.0696,0.0243,0.0118	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0731,0.0256,0.0128	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-20 	 0.0000 TEST SET,0.0728,0.0252,0.0122	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.0734,0.0253,0.0123	||||
